иврит,русский,слово на иврите,перевод на русский
иврит,русский,אפס,ноль
иврит,русский,ראשון,первый
иврит,русский,שני,второй
иврит,русский,שלישי,третий
иврит,русский,רביעי,четвертый
иврит,русский,חמישי,пятый
иврит,русский,שישי,шестой
иврит,русский,שביעי,седьмой
иврит,русский,שמיני,восьмой
иврит,русский,תשיעי,девятый
иврит,русский,עשירי,десятый
иврит,русский,אחד עשר,одиннадцатый
иврит,русский,שנים עשר,двенадцатый
иврит,русский,שלושה עשר,тринадцатый
иврит,русский,ארבעה עשר,четырнадцатый
иврит,русский,חמישה עשר,пятнадцатый
иврит,русский,ששה עשר,шестнадцатый
иврит,русский,שבעה עשר,семнадцатый
иврит,русский,שמונה עשר,восемнадцатый
иврит,русский,תשעה עשר,девятнадцатый
иврит,русский,עשרים,двадцатый
