he,ru,he,ru
иврит,русский,להיבדק,проверяться
иврит,русский,להיכנס,входить
иврит,русский,להישאר,оставаться
иврит,русский,להימצא,находиться
иврит,русский,להיעלם,исчезать
иврит,русский,להיכשל,провалиться
иврит,русский,להיהרס,разрушаться
иврит,русский,להינצל,спасаться
иврит,русский,להיתקל,столкнуться
иврит,русский,להישבר,сломаться
иврит,русский,להירגע,успокаиваться
иврит,русский,להימשך,продолжаться
иврит,русский,להיגמר,заканчиваться
иврит,русский,להיפתח,открываться
иврит,русский,להיסגר,закрываться
иврит,русский,להישכח,забываться
иврит,русский,להיראות,выглядеть
иврит,русский,להיזהר,остерегаться
иврит,русский,להישלח,быть отправленным
иврит,русский,להיאמר,быть сказанным
иврит,русский,להיכחד,вымереть
иврит,русский,להיהפך,превратиться
иврит,русский,להיערך,готовиться
иврит,русский,להישלח,быть отправленным
иврит,русский,להירשם,регистрироваться
иврит,русский,להיתפס,быть пойманным
иврит,русский,להיעשות,быть сделанным
иврит,русский,להיוולד,родиться
иврит,русский,להיפצע,быть раненым
иврит,русский,להידבק,заражаться
иврит,русский,להישמר,сохраняться
иврит,русский,להישבע,присягать
иврит,русский,להישען,опираться
иврит,русский,להיעדר,отсутствовать
иврит,русский,להיכחד,вымереть
иврит,русский,להיאבק,бороться
иврит,русский,להיגמל,излечиться
иврит,русский,להיבחר,быть выбранным
иврит,русский,להיגנב,быть украденным
иврит,русский,להיזכר,вспоминаться
иврит,русский,להיחלץ,выбраться
иврит,русский,להיסחף,увлекаться
иврит,русский,להיפגש,встретиться
иврит,русский,להישפט,быть судимым
иврит,русский,להיצמד,прилипнуть
иврит,русский,להיבלע,поглощаться
иврит,русский,להישקף,просматриваться
иврит,русский,להימלט,убегать
иврит,русский,להינתן,быть данным
иврит,русский,להיגמר,кончаться
иврит,русский,להיקלט,приниматься
иврит,русский,להיפגע,быть задетым
иврит,русский,להישבר,сломаться
иврит,русский,להיעלם,исчезать
иврит,русский,להימלט,убегать
иврит,русский,להינתן,быть данным
иврит,русский,להיתקל,столкнуться
иврит,русский,להימצא,находиться
иврит,русский,להיעשות,делаться
иврит,русский,להיזהר,остерегаться
иврит,русский,להישפט,быть судимым
иврит,русский,להילחם,бороться
иврит,русский,להיבדק,проверяться
иврит,русский,להידמות,сравниваться
иврит,русский,להיזון,питаться
иврит,русский,להיענש,наказываться
иврит,русский,להישאר,оставаться
иврит,русский,להיזהר,остерегаться
иврит,русский,להירקם,выкрашиваться
иврит,русский,להיתמך,поддерживаться
иврит,русский,להישלח,быть отправленным
иврит,русский,להיבדק,проверяться
иврит,русский,להירדם,засыпать
иврит,русский,להישכח,забываться
иврит,русский,להיפתח,открываться
иврит,русский,להיעלם,исчезать
иврит,русский,להינצל,спасаться
иврит,русский,להירגע,успокаиваться
иврит,русский,להיפצע,быть раненым
иврит,русский,להיבחר,быть выбранным
иврит,русский,להיזכר,вспоминаться
иврит,русский,להישלח,быть отправленным
иврит,русский,להיזהר,остерегаться
иврит,русский,להידרש,требоваться
иврит,русский,להישלח,быть отправленным
иврит,русский,להימצא,находиться
иврит,русский,להירשם,регистрироваться
иврит,русский,להיתמך,поддерживаться
иврит,русский,להישמר,сохраняться
иврит,русский,להיסגר,закрываться
иврит,русский,להישמר,сохраняться
иврит,русский,להיבחר,выбираться
иврит,русский,להיראות,выглядеть
иврит,русский,להירקם,выкрашиваться
иврит,русский,להיעשות,быть сделанным
